N° Adresse;N° Article ;N° Ingenieur Commercial;Date facturation ;Date livraison ;N° de facture ;N° commande;Desc article;Quantite;Qte ouverte;Commande Ouverte;Chiffre Affaire;Montant;Rupture de stock;Cout;Marge;N° Client 
10;238;18;26/04/2017;25/07/2021;1367;14846;Pour vente ;1878;90; Pour vente;253357,00;4136382,00;Non;14420,00;1284,00;12685946
19;143;20;27/04/2017;26/07/2021;3227;18711;Pour vente ;1841;60; Pour vente;288539,00;4332406,00;Non;18610,00;1329,00;11154527
4;85;19;28/04/2017;27/07/2021;2318;16038;Pour vente ;2389;67; Pour vente;276619,00;4466497,00;Non;13067,00;1755,00;18703226
8;210;11;29/04/2017;28/07/2021;2139;19790;Pour vente ;1463;79; Pour vente;252209,00;2877508,00;Non;15738,00;1544,00;14177319
9;37;10;30/04/2017;29/07/2021;3566;17621;Pour vente ;700;71; Pour vente;295026,00;4545478,00;Non;17494,00;1559,00;17338405
15;24;12;01/05/2017;30/07/2021;1762;13600;Pour vente ;1505;30; Pour vente;289694,00;5869933,00;Non;14586,00;1962,00;19117905
11;32;20;02/05/2017;31/07/2021;2976;17541;Pour vente ;893;56; Pour vente;295083,00;2013848,00;Non;10813,00;1740,00;18305253
8;237;12;03/05/2017;01/08/2021;3443;11102;Pour vente ;1901;94; Pour vente;256339,00;4935768,00;Non;11168,00;1619,00;13323215
5;116;10;04/05/2017;02/08/2021;1541;18595;Pour vente ;849;64; Pour vente;264726,00;4730646,00;Non;17330,00;1235,00;10065035
11;152;13;05/05/2017;03/08/2021;1372;19414;Pour vente ;129;37; Pour vente;272994,00;2015545,00;Non;12663,00;1268,00;13106611
4;192;19;06/05/2017;04/08/2021;2694;14127;Pour vente ;690;39; Pour vente;273620,00;6441150,00;Non;12206,00;1718,00;11374414
17;48;17;07/05/2017;05/08/2021;3763;12647;Pour vente ;745;94; Pour vente;297430,00;3919781,00;Non;16973,00;1397,00;15435629
3;180;15;08/05/2017;06/08/2021;3344;12108;Pour vente ;1696;71; Pour vente;258056,00;5402858,00;Non;18819,00;1458,00;14037760
4;72;11;09/05/2017;07/08/2021;3725;11867;Pour vente ;1764;22; Pour vente;290193,00;6934675,00;Non;16219,00;1560,00;13115697
18;165;10;10/05/2017;08/08/2021;3142;16219;Pour vente ;610;58; Pour vente;265450,00;6091160,00;Non;16141,00;1321,00;18850056
15;85;15;11/05/2017;09/08/2021;1608;14656;Pour vente ;2057;57; Pour vente;253600,00;3559774,00;Non;17877,00;1508,00;13333576
3;162;19;12/05/2017;10/08/2021;2655;14681;Pour vente ;1129;85; Pour vente;296474,00;4209281,00;Non;16881,00;1729,00;18374724
7;121;16;13/05/2017;11/08/2021;3966;12346;Pour vente ;323;31; Pour vente;292097,00;3913354,00;Non;13261,00;1157,00;16823568
17;221;19;14/05/2017;12/08/2021;2555;18633;Pour vente ;1597;46; Pour vente;267542,00;2696116,00;Non;15004,00;1102,00;11517379
14;97;17;15/05/2017;13/08/2021;3874;10406;Pour vente ;1699;47; Pour vente;275864,00;3330869,00;Non;16940,00;1060,00;17569441
16;107;20;16/05/2017;14/08/2021;2176;12274;Pour vente ;1929;73; Pour vente;262334,00;2421249,00;Non;10930,00;1225,00;15542864
20;149;13;17/05/2017;15/08/2021;1591;15894;Pour vente ;1008;46; Pour vente;280024,00;2843835,00;Non;12192,00;1476,00;18336379
6;251;18;18/05/2017;16/08/2021;1483;11539;Pour vente ;1922;26; Pour vente;268510,00;6296521,00;Non;16705,00;1396,00;15564314
9;180;18;19/05/2017;17/08/2021;2830;18014;Pour vente ;671;97; Pour vente;296748,00;6285764,00;Non;16880,00;1049,00;19105720
16;203;10;20/05/2017;18/08/2021;2132;19529;Pour vente ;1006;32; Pour vente;279337,00;3858594,00;Non;18286,00;1138,00;10581313
19;118;19;21/05/2017;19/08/2021;2395;18119;Pour vente ;1986;27; Pour vente;261543,00;5760780,00;Non;15464,00;1014,00;17741618
2;97;15;22/05/2017;20/08/2021;1852;14106;Pour vente ;1285;44; Pour vente;299571,00;5968097,00;Non;14606,00;1759,00;10565055
6;46;16;23/05/2017;21/08/2021;3637;19714;Pour vente ;358;38; Pour vente;253893,00;4029771,00;Non;19474,00;1937,00;15273000
10;102;17;24/05/2017;22/08/2021;3976;17413;Pour vente ;2097;83; Pour vente;276080,00;6218896,00;Non;18038,00;1448,00;12527769
16;22;20;25/05/2017;23/08/2021;1744;15485;Pour vente ;1243;99; Pour vente;250518,00;6700982,00;Non;12742,00;1839,00;10865105
7;30;16;26/05/2017;24/08/2021;1692;16271;Pour vente ;2303;77; Pour vente;285979,00;5493565,00;Non;19255,00;1960,00;10691088
11;69;17;27/05/2017;25/08/2021;3544;10302;Pour vente ;1487;90; Pour vente;291116,00;3843427,00;Non;17504,00;1085,00;10019823
17;198;16;28/05/2017;26/08/2021;2105;19671;Pour vente ;2298;50; Pour vente;274177,00;2511218,00;Non;19283,00;1684,00;14202008
11;74;10;29/05/2017;27/08/2021;1879;17928;Pour vente ;274;45; Pour vente;264075,00;5101253,00;Non;17237,00;1447,00;14288043
20;231;14;30/05/2017;28/08/2021;1825;19895;Pour vente ;420;34; Pour vente;260368,00;3398163,00;Non;10507,00;1291,00;10085044
17;111;12;31/05/2017;29/08/2021;3574;17369;Pour vente ;333;83; Pour vente;270314,00;4371270,00;Non;12761,00;1337,00;17653652
19;66;12;01/06/2017;30/08/2021;2840;15283;Pour vente ;1583;80; Pour vente;283149,00;6813607,00;Non;16859,00;1910,00;19708282
20;199;17;02/06/2017;31/08/2021;1814;13777;Pour vente ;674;71; Pour vente;282539,00;3659362,00;Non;19627,00;1016,00;11186782
13;217;18;03/06/2017;01/09/2021;1497;12965;Pour vente ;1447;33; Pour vente;275762,00;4541489,00;Non;17551,00;1658,00;10154972
12;235;10;04/06/2017;02/09/2021;2427;14537;Pour vente ;206;26; Pour vente;263009,00;6132283,00;Non;17070,00;1014,00;11443527
14;235;12;05/06/2017;03/09/2021;3847;13387;Pour vente ;442;51; Pour vente;268539,00;3860513,00;Non;16396,00;1161,00;17665798
7;40;17;06/06/2017;04/09/2021;1923;17509;Pour vente ;376;70; Pour vente;290957,00;3306687,00;Non;15427,00;1634,00;13183507
3;175;11;07/06/2017;05/09/2021;1779;10995;Pour vente ;608;51; Pour vente;267507,00;2436843,00;Non;13401,00;1209,00;15433238
20;179;18;08/06/2017;06/09/2021;1410;14518;Pour vente ;324;55; Pour vente;258986,00;4630217,00;Non;13039,00;1950,00;10282427
9;192;13;09/06/2017;07/09/2021;2843;18901;Pour vente ;2066;65; Pour vente;264401,00;4711303,00;Non;17650,00;1319,00;19032423
20;75;20;10/06/2017;08/09/2021;3218;18691;Pour vente ;1026;66; Pour vente;261953,00;4703188,00;Non;19024,00;1552,00;13293648
3;95;15;11/06/2017;09/09/2021;3875;11292;Pour vente ;187;73; Pour vente;267035,00;3136754,00;Non;12988,00;1807,00;14631951
4;127;20;12/06/2017;10/09/2021;2799;17390;Pour vente ;1282;36; Pour vente;268745,00;5235379,00;Non;14529,00;1387,00;10788883
8;29;11;13/06/2017;11/09/2021;1821;13026;Pour vente ;764;70; Pour vente;272774,00;4135998,00;Non;13387,00;1485,00;10347726
5;86;17;14/06/2017;12/09/2021;2866;10440;Pour vente ;1230;40; Pour vente;278082,00;5774636,00;Non;17280,00;1253,00;19048898
9;214;18;15/06/2017;13/09/2021;2263;19639;Pour vente ;925;97; Pour vente;276648,00;6128639,00;Non;13766,00;1726,00;14171207
6;234;19;16/06/2017;14/09/2021;3950;13596;Pour vente ;1142;87; Pour vente;284559,00;5264255,00;Non;14106,00;1012,00;12759196
6;205;20;17/06/2017;15/09/2021;1941;15283;Pour vente ;1015;95; Pour vente;283101,00;5167879,00;Non;15012,00;1750,00;15930355
11;128;18;18/06/2017;16/09/2021;2224;19956;Pour vente ;997;79; Pour vente;265054,00;3226144,00;Non;16655,00;1949,00;16331243
16;67;15;19/06/2017;17/09/2021;3467;11660;Pour vente ;459;86; Pour vente;261137,00;4827721,00;Non;10273,00;1131,00;14098775
18;197;18;20/06/2017;18/09/2021;2528;17019;Pour vente ;315;41; Pour vente;271235,00;7309457,00;Non;17271,00;1306,00;17821737
10;212;18;21/06/2017;19/09/2021;2690;16551;Pour vente ;693;20; Pour vente;276388,00;6268200,00;Non;11684,00;1120,00;15225003
1;36;19;22/06/2017;20/09/2021;3897;10667;Pour vente ;567;24; Pour vente;272198,00;6741472,00;Non;13747,00;1816,00;15031280
7;244;20;23/06/2017;21/09/2021;3472;13409;Pour vente ;162;60; Pour vente;271007,00;2010304,00;Non;13905,00;1252,00;10199749
3;254;16;24/06/2017;22/09/2021;1383;12976;Pour vente ;2507;48; Pour vente;284504,00;4895879,00;Non;16778,00;1347,00;10139514
5;80;15;25/06/2017;23/09/2021;1646;16613;Pour vente ;2282;46; Pour vente;258472,00;2794204,00;Non;15092,00;1247,00;11397869
7;137;20;26/06/2017;24/09/2021;3784;13712;Pour vente ;1175;59; Pour vente;270683,00;4179786,00;Non;13394,00;1024,00;19173161
15;255;10;27/06/2017;25/09/2021;2338;10042;Pour vente ;1745;73; Pour vente;294367,00;5855419,00;Non;17374,00;1014,00;17648199
17;210;18;28/06/2017;26/09/2021;1988;14734;Pour vente ;731;100; Pour vente;271349,00;6660550,00;Non;18279,00;1834,00;11891153
5;31;17;29/06/2017;27/09/2021;3471;18962;Pour vente ;1862;70; Pour vente;285169,00;2122029,00;Non;16973,00;1348,00;18379849
1;121;11;30/06/2017;28/09/2021;2791;17443;Pour vente ;623;52; Pour vente;286771,00;7016548,00;Non;13382,00;1429,00;13057296
4;150;19;01/07/2017;29/09/2021;2915;10502;Pour vente ;422;67; Pour vente;267319,00;4898605,00;Non;13732,00;1439,00;14192581
19;159;17;02/07/2017;30/09/2021;3706;15636;Pour vente ;753;83; Pour vente;257797,00;5562179,00;Non;14671,00;1590,00;19828091
18;131;15;03/07/2017;01/10/2021;3202;11912;Pour vente ;1508;57; Pour vente;268822,00;7337648,00;Non;19983,00;1117,00;19915491
8;176;13;04/07/2017;02/10/2021;2103;17599;Pour vente ;503;42; Pour vente;297736,00;7948355,00;Non;17004,00;1980,00;15111519
14;187;20;05/07/2017;03/10/2021;1375;10630;Pour vente ;2369;50; Pour vente;261766,00;7118638,00;Non;17315,00;1726,00;11975180
19;108;13;06/07/2017;04/10/2021;3200;12530;Pour vente ;1118;66; Pour vente;258923,00;7773881,00;Non;10699,00;1803,00;14425412
17;54;13;07/07/2017;05/10/2021;2524;11157;Pour vente ;1593;47; Pour vente;267929,00;5512129,00;Non;18355,00;1040,00;13830081
12;193;16;08/07/2017;06/10/2021;3062;17452;Pour vente ;355;96; Pour vente;272003,00;6574763,00;Non;17747,00;1348,00;19859953
20;216;10;09/07/2017;07/10/2021;2986;12113;Pour vente ;1937;57; Pour vente;251947,00;7902723,00;Non;11038,00;1080,00;18152429
19;118;14;10/07/2017;08/10/2021;3517;11664;Pour vente ;673;81; Pour vente;260969,00;7343119,00;Non;19408,00;1550,00;12740519
20;103;10;11/07/2017;09/10/2021;2085;18982;Pour vente ;2224;45; Pour vente;288380,00;4264098,00;Non;14826,00;1092,00;14628718
16;117;13;12/07/2017;10/10/2021;1891;10149;Pour vente ;767;64; Pour vente;260683,00;4575622,00;Non;11460,00;1387,00;13926997
19;90;18;13/07/2017;11/10/2021;2237;16405;Pour vente ;2041;36; Pour vente;288356,00;2407972,00;Non;19497,00;1431,00;13405751
2;193;16;14/07/2017;12/10/2021;3666;16847;Pour vente ;2160;60; Pour vente;280478,00;3610888,00;Non;11312,00;1340,00;17565300
2;192;11;15/07/2017;13/10/2021;2307;17992;Pour vente ;2010;77; Pour vente;276798,00;6343672,00;Non;13944,00;1528,00;19944548
3;106;13;16/07/2017;14/10/2021;1954;12500;Pour vente ;300;76; Pour vente;282972,00;3912652,00;Non;15967,00;1259,00;17763193
20;81;20;17/07/2017;15/10/2021;2487;17122;Pour vente ;191;80; Pour vente;278581,00;5307670,00;Non;17179,00;1934,00;12125761
2;154;15;18/07/2017;16/10/2021;1884;17349;Pour vente ;2286;62; Pour vente;276616,00;7601591,00;Non;14945,00;1739,00;16377506
4;210;20;19/07/2017;17/10/2021;2159;12065;Pour vente ;1648;25; Pour vente;277487,00;4146035,00;Non;13862,00;1185,00;13004164
3;147;15;20/07/2017;18/10/2021;2776;17159;Pour vente ;472;32; Pour vente;286880,00;3947118,00;Non;19465,00;1925,00;16169767
3;163;19;21/07/2017;19/10/2021;2123;12968;Pour vente ;1863;76; Pour vente;267448,00;3382129,00;Non;11637,00;1511,00;13183502
12;127;18;22/07/2017;20/10/2021;3636;12106;Pour vente ;433;39; Pour vente;296426,00;4549253,00;Non;11723,00;1695,00;18384789
12;54;13;23/07/2017;21/10/2021;2906;13795;Pour vente ;1060;39; Pour vente;297639,00;4877719,00;Non;19581,00;1795,00;11875253
14;144;17;24/07/2017;22/10/2021;3660;16195;Pour vente ;2034;69; Pour vente;298649,00;5529335,00;Non;15889,00;1050,00;17756347
17;71;15;25/07/2017;23/10/2021;3643;10055;Pour vente ;1061;48; Pour vente;261661,00;2638829,00;Non;12457,00;1465,00;13745985
6;240;16;26/07/2017;24/10/2021;3267;11961;Pour vente ;1686;70; Pour vente;279753,00;3577491,00;Non;10124,00;1525,00;11256886
17;78;15;27/07/2017;25/10/2021;1661;18194;Pour vente ;1711;98; Pour vente;289804,00;4402366,00;Non;12162,00;1512,00;15557932
13;189;20;28/07/2017;26/10/2021;3083;15621;Pour vente ;208;82; Pour vente;262588,00;7308897,00;Non;17434,00;1759,00;12195167
5;174;14;29/07/2017;27/10/2021;1654;15228;Pour vente ;2158;73; Pour vente;295724,00;3376278,00;Non;14858,00;1378,00;18709614
10;211;17;30/07/2017;28/10/2021;2454;19220;Pour vente ;1378;64; Pour vente;274537,00;3566625,00;Non;17503,00;1750,00;19118587
19;42;18;31/07/2017;29/10/2021;2894;12363;Pour vente ;362;89; Pour vente;270175,00;4603972,00;Non;12294,00;1074,00;17302063
18;16;19;01/08/2017;30/10/2021;2583;15427;Pour vente ;2511;48; Pour vente;293670,00;4781694,00;Non;17755,00;1413,00;18914556
3;253;16;02/08/2017;31/10/2021;1672;12487;Pour vente ;1353;62; Pour vente;296115,00;5976577,00;Non;16635,00;1935,00;17024659
12;206;13;03/08/2017;01/11/2021;3794;17556;Pour vente ;1771;88; Pour vente;257742,00;2160535,00;Non;13309,00;1755,00;10936853
15;81;13;04/08/2017;02/11/2021;1875;10657;Pour vente ;2031;70; Pour vente;282040,00;5859660,00;Non;13861,00;1947,00;14039133
13;75;10;05/08/2017;03/11/2021;1908;14479;Pour vente ;1546;85; Pour vente;273369,00;3291676,00;Non;16234,00;1475,00;15570430
17;43;14;06/08/2017;04/11/2021;3503;14060;Pour vente ;2521;28; Pour vente;290123,00;4909916,00;Non;17783,00;1654,00;15607673
4;238;20;07/08/2017;05/11/2021;2908;18600;Pour vente ;1985;48; Pour vente;266547,00;3723483,00;Non;15961,00;1181,00;10129654
14;191;14;08/08/2017;06/11/2021;2728;19814;Pour vente ;189;78; Pour vente;262624,00;4156090,00;Non;19542,00;1128,00;10652950
9;141;11;09/08/2017;07/11/2021;2266;15660;Pour vente ;526;94; Pour vente;264196,00;2242694,00;Non;12054,00;1155,00;18391049
13;164;15;10/08/2017;08/11/2021;2158;15466;Pour vente ;437;39; Pour vente;285545,00;2757738,00;Non;14456,00;1167,00;18615703
16;78;10;11/08/2017;09/11/2021;3707;18295;Pour vente ;845;94; Pour vente;257777,00;2709468,00;Non;15548,00;1842,00;12161752
9;23;19;12/08/2017;10/11/2021;3348;19810;Pour vente ;984;55; Pour vente;275638,00;7264093,00;Non;17118,00;1294,00;11954168
18;90;14;13/08/2017;11/11/2021;3939;15320;Pour vente ;165;77; Pour vente;296055,00;3434691,00;Non;11240,00;1207,00;12509691
19;187;14;14/08/2017;12/11/2021;2267;18561;Pour vente ;1323;20; Pour vente;265253,00;6418622,00;Non;15202,00;1594,00;17198115
15;117;13;15/08/2017;13/11/2021;3593;11725;Pour vente ;866;70; Pour vente;270954,00;6245236,00;Non;12077,00;1708,00;16895433
12;165;17;16/08/2017;14/11/2021;3243;11718;Pour vente ;1876;86; Pour vente;297538,00;4576488,00;Non;13036,00;1639,00;11908008
15;252;16;17/08/2017;15/11/2021;3893;19523;Pour vente ;945;95; Pour vente;279517,00;4406165,00;Non;17964,00;1324,00;19244282
18;207;11;18/08/2017;16/11/2021;3953;16380;Pour vente ;1273;100; Pour vente;288072,00;2408250,00;Non;10483,00;1722,00;12454801
20;196;18;19/08/2017;17/11/2021;3779;18014;Pour vente ;549;38; Pour vente;294040,00;5199842,00;Non;14894,00;1554,00;12073029
9;122;14;20/08/2017;18/11/2021;3702;11334;Pour vente ;532;26; Pour vente;295497,00;5110333,00;Non;13313,00;1162,00;16378727
20;85;12;21/08/2017;19/11/2021;2158;17853;Pour vente ;1427;32; Pour vente;280753,00;7627340,00;Non;19297,00;1209,00;10012163
17;237;13;22/08/2017;20/11/2021;3814;10702;Pour vente ;454;99; Pour vente;250719,00;3866777,00;Non;14082,00;1152,00;12741643
12;70;16;23/08/2017;21/11/2021;3642;16518;Pour vente ;1331;95; Pour vente;258822,00;7570514,00;Non;17250,00;1331,00;18492848
17;117;11;24/08/2017;22/11/2021;2955;14707;Pour vente ;1192;38; Pour vente;252371,00;2327747,00;Non;16377,00;1527,00;17650122
10;45;17;25/08/2017;23/11/2021;3847;13784;Pour vente ;1602;53; Pour vente;255057,00;3494784,00;Non;17683,00;1980,00;14384851
4;123;20;26/08/2017;24/11/2021;2878;12541;Pour vente ;933;84; Pour vente;269023,00;5026323,00;Non;14159,00;1833,00;17297344
8;178;15;27/08/2017;25/11/2021;3165;11123;Pour vente ;2066;22; Pour vente;283766,00;2540680,00;Non;14646,00;1212,00;16367423
18;67;13;28/08/2017;26/11/2021;1920;17389;Pour vente ;2143;93; Pour vente;262301,00;7778136,00;Non;14013,00;1547,00;10473218
3;46;13;29/08/2017;27/11/2021;2927;15817;Pour vente ;469;57; Pour vente;261986,00;5458650,00;Non;18681,00;1095,00;14823713
7;129;11;30/08/2017;28/11/2021;2589;10846;Pour vente ;2340;43; Pour vente;273563,00;3315613,00;Non;10971,00;1827,00;11274186
10;173;19;31/08/2017;29/11/2021;3020;15251;Pour vente ;1009;79; Pour vente;260630,00;7304037,00;Non;13294,00;1604,00;13648102
13;61;12;01/09/2017;30/11/2021;3206;11061;Pour vente ;164;47; Pour vente;254095,00;2715832,00;Non;18508,00;1591,00;19938821
4;125;18;02/09/2017;01/12/2021;3133;15098;Pour vente ;558;82; Pour vente;274872,00;4274105,00;Non;10814,00;1476,00;15231154
6;73;17;03/09/2017;02/12/2021;3259;11787;Pour vente ;2505;59; Pour vente;268293,00;4505799,00;Non;10764,00;1242,00;16775224
18;68;15;04/09/2017;03/12/2021;2563;15229;Pour vente ;839;44; Pour vente;286705,00;3753276,00;Non;19361,00;1727,00;13454775
2;167;10;05/09/2017;04/12/2021;1757;17212;Pour vente ;1911;94; Pour vente;259943,00;4600692,00;Non;10574,00;1256,00;19527120
6;10;11;06/09/2017;05/12/2021;2532;18689;Pour vente ;718;44; Pour vente;273250,00;3670030,00;Non;11030,00;1730,00;15483706
13;226;20;07/09/2017;06/12/2021;2836;16155;Pour vente ;505;70; Pour vente;296657,00;7788777,00;Non;12845,00;1632,00;18220308
9;146;15;08/09/2017;07/12/2021;2120;10070;Pour vente ;746;21; Pour vente;272193,00;3444963,00;Non;11985,00;1362,00;10642290
10;249;10;09/09/2017;08/12/2021;3005;10318;Pour vente ;2355;75; Pour vente;263617,00;2792278,00;Non;17148,00;1247,00;11523203
20;109;11;10/09/2017;09/12/2021;2345;13034;Pour vente ;2331;40; Pour vente;297971,00;6254317,00;Non;18397,00;1381,00;19233809
15;54;19;11/09/2017;10/12/2021;2649;18610;Pour vente ;1602;65; Pour vente;283533,00;4840994,00;Non;17707,00;1541,00;19623009
1;69;11;12/09/2017;11/12/2021;1648;19388;Pour vente ;1328;86; Pour vente;267474,00;4200020,00;Non;15345,00;1729,00;11911316
4;178;16;13/09/2017;12/12/2021;3705;12287;Pour vente ;1049;100; Pour vente;261419,00;6370072,00;Non;13113,00;1187,00;17031171
14;175;16;14/09/2017;13/12/2021;2580;16634;Pour vente ;299;25; Pour vente;285322,00;7427719,00;Non;11259,00;1532,00;17560216
3;42;10;15/09/2017;14/12/2021;2335;18137;Pour vente ;872;52; Pour vente;272530,00;3200487,00;Non;11910,00;1258,00;18398784
12;31;13;16/09/2017;15/12/2021;2662;10823;Pour vente ;482;48; Pour vente;280925,00;5483169,00;Non;11315,00;1679,00;13495897
9;19;11;17/09/2017;16/12/2021;2872;19837;Pour vente ;2337;32; Pour vente;272992,00;6445661,00;Non;15071,00;1648,00;13708283
13;140;13;18/09/2017;17/12/2021;3540;18306;Pour vente ;2125;74; Pour vente;288963,00;2249978,00;Non;19809,00;1704,00;16887342
10;21;19;19/09/2017;18/12/2021;3266;17026;Pour vente ;1227;80; Pour vente;272025,00;4837458,00;Non;17375,00;1966,00;16236674
9;227;12;20/09/2017;19/12/2021;2842;11985;Pour vente ;424;74; Pour vente;283744,00;4399200,00;Non;16304,00;1927,00;13813289
8;97;18;21/09/2017;20/12/2021;2308;16269;Pour vente ;870;93; Pour vente;297524,00;7347983,00;Non;13419,00;1639,00;10453131
14;104;13;22/09/2017;21/12/2021;1596;16592;Pour vente ;985;93; Pour vente;252227,00;4585526,00;Non;11587,00;1260,00;17300211
5;128;13;23/09/2017;22/12/2021;1917;18818;Pour vente ;2091;44; Pour vente;272664,00;4165154,00;Non;15251,00;1729,00;14426626
1;188;19;24/09/2017;23/12/2021;3434;12246;Pour vente ;639;69; Pour vente;252890,00;3462559,00;Non;16603,00;1948,00;10976200
3;48;19;25/09/2017;24/12/2021;2221;16566;Pour vente ;2387;60; Pour vente;299184,00;6157530,00;Non;19434,00;1375,00;13098469
1;232;19;26/09/2017;25/12/2021;2138;17168;Pour vente ;1875;41; Pour vente;255147,00;4736066,00;Non;10168,00;1295,00;17076727
2;190;15;27/09/2017;26/12/2021;2877;10429;Pour vente ;2119;45; Pour vente;297051,00;5069789,00;Non;15781,00;1446,00;13073610
4;165;17;28/09/2017;27/12/2021;2173;18423;Pour vente ;498;46; Pour vente;257818,00;2837484,00;Non;18329,00;1297,00;13772994
8;30;14;29/09/2017;28/12/2021;2125;12527;Pour vente ;1763;20; Pour vente;260190,00;7269336,00;Non;18332,00;1374,00;19053233
15;237;10;30/09/2017;29/12/2021;3955;18309;Pour vente ;2484;69; Pour vente;286952,00;2752228,00;Non;19853,00;1404,00;19385172
5;207;14;01/10/2017;30/12/2021;1603;14709;Pour vente ;2329;89; Pour vente;269000,00;5009411,00;Non;17411,00;1407,00;18215052
9;252;16;02/10/2017;31/12/2021;3595;11011;Pour vente ;1900;60; Pour vente;263235,00;2154663,00;Non;19688,00;1169,00;19654090
3;242;15;03/10/2017;01/01/2022;3368;19187;Pour vente ;2371;65; Pour vente;265597,00;6786236,00;Non;17407,00;1811,00;12429937
9;82;14;04/10/2017;02/01/2022;3936;10481;Pour vente ;1837;47; Pour vente;262156,00;4950614,00;Non;11714,00;1754,00;11875210
19;189;17;05/10/2017;03/01/2022;2730;11112;Pour vente ;2057;32; Pour vente;282961,00;4956331,00;Non;14035,00;1456,00;17766681
3;42;14;06/10/2017;04/01/2022;2583;17466;Pour vente ;550;84; Pour vente;251110,00;3345649,00;Non;18219,00;1058,00;15877361
14;175;14;07/10/2017;05/01/2022;3583;12388;Pour vente ;1695;37; Pour vente;261535,00;4303630,00;Non;12297,00;1370,00;13632019
9;154;13;08/10/2017;06/01/2022;3188;18728;Pour vente ;761;74; Pour vente;291468,00;6432167,00;Non;19775,00;1295,00;13209376
18;73;15;09/10/2017;07/01/2022;3811;16952;Pour vente ;1480;42; Pour vente;283185,00;7812322,00;Non;16860,00;1510,00;12072270
1;221;18;10/10/2017;08/01/2022;2219;18801;Pour vente ;2510;36; Pour vente;281055,00;3032606,00;Non;16319,00;1352,00;13414083
20;243;14;11/10/2017;09/01/2022;3340;14900;Pour vente ;1075;93; Pour vente;285823,00;2052724,00;Non;10235,00;1056,00;12349098
12;154;10;12/10/2017;10/01/2022;3209;19427;Pour vente ;186;38; Pour vente;296814,00;5814718,00;Non;12339,00;1678,00;15176213
11;61;14;13/10/2017;11/01/2022;1550;13705;Pour vente ;1142;20; Pour vente;281148,00;5545550,00;Non;10324,00;1464,00;11804004
11;255;18;14/10/2017;12/01/2022;2872;11931;Pour vente ;2511;64; Pour vente;250084,00;2326369,00;Non;18049,00;1937,00;18018251
7;187;14;15/10/2017;13/01/2022;3714;14928;Pour vente ;255;29; Pour vente;260535,00;5192759,00;Non;16915,00;1837,00;11680686
3;35;12;16/10/2017;14/01/2022;3466;14649;Pour vente ;2520;48; Pour vente;291788,00;5700820,00;Non;16068,00;1934,00;11525065
14;148;10;17/10/2017;15/01/2022;2147;12353;Pour vente ;2002;55; Pour vente;269352,00;4271128,00;Non;14884,00;1948,00;11932843
3;85;12;18/10/2017;16/01/2022;2988;17343;Pour vente ;2016;93; Pour vente;282295,00;3739376,00;Non;15396,00;1254,00;15548358
11;80;17;19/10/2017;17/01/2022;1782;16795;Pour vente ;1657;32; Pour vente;298775,00;3536663,00;Non;16167,00;1626,00;18407368
6;213;12;20/10/2017;18/01/2022;3317;18446;Pour vente ;2252;78; Pour vente;271959,00;4277725,00;Non;15824,00;1796,00;15483141
2;165;12;21/10/2017;19/01/2022;1647;18189;Pour vente ;2518;28; Pour vente;260814,00;3199671,00;Non;11107,00;1944,00;14508421
20;145;17;22/10/2017;20/01/2022;2354;12440;Pour vente ;2206;74; Pour vente;274976,00;2865444,00;Non;14745,00;1469,00;18743435
13;117;16;23/10/2017;21/01/2022;2543;18144;Pour vente ;754;40; Pour vente;272133,00;2866262,00;Non;10531,00;1524,00;10725439
1;254;13;24/10/2017;22/01/2022;3562;10728;Pour vente ;1338;46; Pour vente;258524,00;4636894,00;Non;14545,00;1449,00;14741907
14;121;10;25/10/2017;23/01/2022;1665;11427;Pour vente ;510;31; Pour vente;275132,00;6663490,00;Non;18917,00;1852,00;13608025
13;223;14;26/10/2017;24/01/2022;2105;11504;Pour vente ;2189;94; Pour vente;263042,00;3873162,00;Non;10795,00;1487,00;17815247
2;194;18;27/10/2017;25/01/2022;2045;18813;Pour vente ;2315;52; Pour vente;287351,00;5966926,00;Non;15656,00;1628,00;16208605
16;164;19;28/10/2017;26/01/2022;1794;16957;Pour vente ;1885;43; Pour vente;275618,00;7601752,00;Non;13492,00;1906,00;10770287
14;66;17;29/10/2017;27/01/2022;2851;16564;Pour vente ;778;28; Pour vente;280199,00;5041440,00;Non;10690,00;1210,00;17999671
6;135;12;30/10/2017;28/01/2022;3947;11122;Pour vente ;2477;25; Pour vente;290984,00;6861762,00;Non;11394,00;1116,00;12578266
19;198;16;31/10/2017;29/01/2022;1943;19499;Pour vente ;238;44; Pour vente;254940,00;5547849,00;Non;10485,00;1863,00;11997684
9;44;10;01/11/2017;30/01/2022;3846;18959;Pour vente ;656;87; Pour vente;253705,00;3344377,00;Non;11649,00;1583,00;11195129
20;165;16;02/11/2017;31/01/2022;3135;18822;Pour vente ;870;93; Pour vente;298790,00;4789709,00;Non;18808,00;1372,00;19630758
6;238;13;03/11/2017;01/02/2022;1518;14462;Pour vente ;2368;70; Pour vente;250262,00;3172998,00;Non;12497,00;1811,00;17193177
8;20;17;04/11/2017;02/02/2022;2402;19125;Pour vente ;2228;58; Pour vente;275151,00;3237404,00;Non;10544,00;1101,00;15611989
